frame,time_s,active_notes,events,audio_active,rms_dbfs,rms_threshold,rms_growth,spectral_flux,onset_detector_score,top_frame,top_onset,inference_ms,pipeline_ms,queue_depth
1744,11.209433106575963,67,,1,-40.18202893275922,0.003237655062603202,0.00027145038077670824,0.021083570678083148,8.4,67:0.98131 66:0.54450 64:0.05725 68:0.05698 65:0.05502 69:0.02393,67:0.36739 66:0.34568 64:0.11832 65:0.11218 68:0.08107 69:0.01280,2.8081000000028666,8.047200000000032,1
1745,11.215238095238096,67,,1,-40.53934311200074,0.003237655062603202,0.0,0.01011424006509171,4.5,67:0.95323 66:0.55652 64:0.11291 65:0.09231 68:0.07428 63:0.03314,66:0.32754 67:0.24633 65:0.19155 64:0.18942 68:0.11321 69:0.02360,3.1980999999987603,12.58709999999752,0
1746,11.221043083900227,67,,1,-39.85080947195324,0.003237655062603202,0.0007753017158625836,0.009419172779871619,8.4,67:0.94018 66:0.52697 64:0.15758 65:0.12940 68:0.08788 63:0.03194,66:0.32074 64:0.23545 65:0.22786 67:0.21269 68:0.12599 76:0.02519,2.9893999999970333,4.535999999998097,2
1747,11.226848072562358,67,,1,-40.26867641501457,0.003237655062603202,0.0,0.02258880352956887,4.5,67:0.94517 66:0.58179 65:0.17410 64:0.16406 68:0.08519 63:0.03415,66:0.37501 65:0.30357 64:0.28811 67:0.23336 68:0.11677 76:0.02327,3.168499999997465,8.676000000001238,1
1748,11.23265306122449,67,,1,-41.247596224652945,0.003237655062603202,0.0,0.009079866316991519,4.5,67:0.94166 66:0.56226 65:0.15369 64:0.14690 68:0.08253 63:0.03408,66:0.32565 65:0.27191 64:0.25648 67:0.21612 68:0.10749 76:0.01589,2.8490999999988276,12.932700000000352,0
1749,11.23845804988662,67,,1,-40.70818277439529,0.003237655062603202,0.0005549869565667984,0.020162383315231812,8.4,67:0.93614 66:0.51428 64:0.15751 65:0.15563 68:0.09078 63:0.03489,66:0.31656 65:0.26685 64:0.26532 67:0.20087 68:0.11841 76:0.01853,3.8285000000009006,5.195500000002795,2
1750,11.244263038548754,67,,1,-39.77746919453245,0.003237655062603202,0.0010424811037522408,0.01584814259663062,8.4,67:0.94484 66:0.58886 65:0.17964 64:0.15144 68:0.07571 63:0.02954,66:0.35052 65:0.28900 64:0.26857 67:0.21641 68:0.09537 76:0.02017,3.6106999999994116,10.348900000000327,1
1751,11.250068027210885,67,,1,-41.0506979438007,0.003237655062603202,0.0,0.016997615918921086,4.5,67:0.94611 66:0.48807 65:0.13322 64:0.13021 68:0.08555 63:0.02890,66:0.28263 64:0.23190 65:0.23073 67:0.21053 68:0.10806 76:0.01708,3.2358999999999583,15.688799999999503,3
1752,11.255873015873016,67,,1,-41.01854420873152,0.003237655062603202,3.2861419253295623e-05,0.011444080105508079,4.5,67:0.93617 66:0.51392 65:0.16659 64:0.15640 68:0.08120 63:0.02937,66:0.28936 64:0.25979 65:0.25238 67:0.18503 68:0.09273 76:0.01903,4.281100000000038,10.771400000002984,2
1753,11.261678004535147,67,,1,-40.74937986456667,0.003237655062603202,0.0002799126315521667,0.02267313900589062,8.4,67:0.94237 66:0.51360 65:0.15894 64:0.13532 68:0.09279 63:0.02712,66:0.29521 65:0.25325 64:0.24317 67:0.20863 68:0.10111 76:0.01693,3.0551000000009765,14.942399999998912,1
1754,11.267482993197278,67,,1,-40.54487979364953,0.003237655062603202,0.00021854088385742793,0.017999782996979505,7.538021625233091,67:0.94420 66:0.45873 65:0.14432 64:0.13933 68:0.07562 63:0.02454,66:0.24400 64:0.22666 65:0.21155 67:0.18708 68:0.08194 76:0.01607,2.451400000001769,18.161400000000327,0
1755,11.27328798185941,67,,1,-41.46381441168319,0.003237655062603202,0.0,0.030108539191367415,5.687919377035856,67:0.94506 66:0.49748 65:0.16678 64:0.15863 68:0.07297 63:0.02584,66:0.28557 64:0.26959 65:0.23501 67:0.19593 68:0.08239 76:0.02011,2.43250000000117,4.187699999999239,2
