frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms
172,1.0042630385487528,1,512,1,1.0,-66.04920906753004,0.020335333421826363,59,0,-1,,0,0,6.34679999999932,7.895800000000008
173,1.0100680272108844,1,512,0,1.0,-66.35708157434279,0.021289482712745667,59,0,-1,,0,0,3.516699999998707,4.996199999997231
174,1.0158730158730158,1,512,0,1.0,-65.90727315010218,0.020383579656481743,59,0,-1,,0,0,6.441300000002315,8.003800000000894
175,1.0216780045351475,1,1024,0,0.8873372968813431,-67.48445268560108,0.019911563023924828,59,0,-1,,0,0,6.391499999999439,7.942200000002231
176,1.0274829931972789,1,1024,0,0.5188214377539896,-69.18128986032569,0.020109133794903755,59,0,-1,,0,0,16.604099999998567,18.681600000000742
177,1.0332879818594105,1,2048,0,0.2580831677211204,-68.64122104447983,0.020099610090255737,59,0,-1,,0,0,7.531000000000176,9.875899999997273
178,1.039092970521542,1,2048,0,1.0,-67.62672347285894,0.020039387047290802,59,0,-1,,0,0,4.218500000000347,12.786399999999531
179,1.0448979591836736,1,2048,0,0.7543752237011013,-68.96161686940354,0.020221073180437088,59,0,-1,,0,0,6.05990000000034,8.274499999998852
180,1.050702947845805,1,2048,0,0.28049658137399147,-68.48986254087448,0.01991856098175049,59,0,-1,,0,0,6.226499999996804,7.7427000000014345
181,1.0565079365079366,1,4096,0,1.0,-66.23779455361849,0.0026648794300854206,59,0,-1,,0,0,3.5509000000004676,6.306900000002003
182,1.062312925170068,1,4096,0,1.0,-63.675697674941816,0.0026652012020349503,59,0,-1,,0,0,4.229099999999875,5.649500000000529
183,1.0681179138321995,1,4096,0,1.0,-61.62921039970185,0.0027002375572919846,59,0,-1,,0,0,25.72980000000058,27.61409999999742
184,1.073922902494331,1,4096,0,1.0,-59.40892327821513,0.0030736029148101807,59,0,-1,,0,0,3.9346000000008985,14.342200000001526
185,1.0797278911564625,1,4096,0,1.0,-54.15363543531832,0.0033909010235220194,59,0,-1,,0,0,9.810599999998004,12.891400000000885
186,1.0855328798185941,1,4096,0,1.0,-53.312923704135066,0.003628050908446312,59,0,-1,,0,0,4.36380000000014,5.921499999999469
187,1.0913378684807256,1,4096,0,1.0,-58.45437095445669,0.0035019421484321356,59,0,-1,,0,0,11.90509999999989,14.066400000000812
188,1.0971428571428572,1,4096,0,1.0,-56.50436864911313,0.0034106469247490168,53,0,-1,,0,0,26.726999999997503,35.18380000000221
189,1.1029478458049886,1,4096,0,1.0,-56.11205264992815,0.0035289558582007885,53,0,-1,,0,0,11.074599999997048,12.428199999998668
190,1.1087528344671203,1,4096,0,1.0,-52.94449123168035,0.004141072742640972,53,0,-1,,0,0,20.779300000000944,23.00379999999791
191,1.1145578231292517,1,4096,0,1.0,-55.77308464388054,0.003684417111799121,53,0,-1,,0,0,3.85949999999724,5.436299999999505
192,1.1203628117913833,1,4096,0,1.0,-57.60412758305136,0.00302329589612782,66,0,-1,,0,0,4.300399999998206,7.0537999999977785
193,1.1261678004535147,1,4096,0,1.0,-60.23141635171235,0.0022619145456701517,66,0,-1,,0,0,3.7883999999976936,5.203500000000361
194,1.1319727891156464,1,4096,0,1.0,-63.77663701017063,0.0020269646774977446,66,0,-1,,0,0,32.543800000002676,34.8386000000005
195,1.1377777777777778,1,4096,0,0.0,-70.09318543764866,0.001878631068393588,66,0,-1,,0,0,5.2970999999999435,9.614600000002582
196,1.1435827664399092,1,4096,0,0.0,-72.23600749178847,0.0018484664615243673,66,0,-1,,0,0,4.553800000000052,6.21049999999812
197,1.1493877551020408,1,4096,0,0.0,-73.44798878949697,0.0017554180230945349,66,0,-1,,0,0,4.208700000003063,10.202000000003153
198,1.1551927437641722,1,4096,0,0.0,-70.691030305042,0.0018338862573727965,66,0,-1,,0,0,8.309499999999304,11.708199999997504
199,1.1609977324263039,1,4096,0,0.0,-71.9868357391245,0.0018972227117046714,66,0,-1,,0,0,3.8721999999999923,5.863800000000197
200,1.1668027210884353,1,4096,0,0.6883627361137885,-66.57253295617149,0.0018460435094311833,53,0,-1,,0,0,3.021199999999169,4.013000000000488
201,1.172607709750567,1,512,1,0.7614024936966438,-63.70470672754588,0.02259063348174095,59,0,-1,,0,0,4.122800000001092,5.196600000001439
202,1.1784126984126984,1,512,0,0.830005238139648,-64.31331162671766,0.025129973888397217,59,0,-1,,0,0,3.496199999997174,5.247600000000574
203,1.18421768707483,1,512,0,1.0,-58.48782618405199,0.034213148057460785,59,0,-1,,0,0,3.4559999999999036,4.730299999998522
204,1.1900226757369614,1,1024,0,1.0,-51.80416306721177,0.10061434656381607,59,0,-1,,0,0,5.83650000000091,7.6667999999990855
205,1.195827664399093,1,1024,0,1.0,-47.149512204791826,0.32564735412597656,53,0,-1,,0,0,4.2186999999991315,6.3957999999999515
206,1.2016326530612245,1,2048,0,1.0,-45.05481076682483,0.10646803677082062,53,0,-1,,0,0,6.509099999998824,9.129099999999113
207,1.207437641723356,1,2048,0,1.0,-45.36891115993262,0.08552055060863495,65,0,-1,,0,0,4.221099999998756,5.718600000001572
208,1.2132426303854875,1,2048,0,1.0,-47.16023170379199,0.06509711593389511,65,0,-1,,0,0,3.789900000001012,5.1133999999990465
209,1.2190476190476192,1,2048,0,1.0,-57.4305592733175,0.019237173721194267,65,0,-1,,0,0,6.135300000000399,7.208300000002055
210,1.2248526077097506,1,4096,0,1.0,-50.055789168200334,0.0022470331750810146,65,0,-1,,0,0,3.416300000001371,4.7685000000008415
211,1.230657596371882,1,4096,0,1.0,-49.44886662699341,0.0024069177452474833,65,0,-1,,0,0,3.56339999999733,5.243200000002446
212,1.2364625850340136,1,4096,0,1.0,-51.60492929565191,0.0022174378391355276,65,0,-1,,0,0,4.534899999999453,10.564200000001023
213,1.242267573696145,1,4096,0,1.0,-53.70347396552379,0.0017598402919247746,65,0,-1,,0,0,3.7839999999995655,5.324200000000445
214,1.2480725623582767,1,4096,0,1.0,-55.95546888604314,0.0013566795969381928,65,0,-1,,0,0,5.663699999999494,7.220499999998964
215,1.253877551020408,1,4096,0,1.0,-59.67947502591763,0.001094016944989562,65,0,-1,,0,0,3.6516000000013094,5.25779999999898
216,1.2596825396825397,1,4096,0,0.6682277415473495,-61.34640098448858,0.0009545188513584435,65,0,-1,,0,0,3.256800000002613,4.562499999998693
217,1.2654875283446712,1,4096,0,1.0,-58.475852253783444,0.0009081023745238781,65,0,-1,,0,0,3.8029000000001645,7.134600000000546
218,1.2712925170068028,1,4096,0,0.9031329927448951,-61.374344402090564,0.0009298464865423739,65,0,-1,,0,0,4.311600000001192,7.4154000000028475
219,1.2770975056689342,1,4096,0,0.13412189917649323,-64.71843359881757,0.0010028404649347067,65,0,-1,,0,0,4.449400000002157,6.732200000001853
220,1.2829024943310658,1,4096,0,0.07395122085607976,-64.54125508195706,0.0009779450483620167,65,0,-1,,0,0,3.6580999999991093,6.677299999999775
221,1.2887074829931973,1,4096,0,0.0,-70.98987829531936,0.0010606463765725493,65,0,-1,,0,0,4.117799999999505,5.242499999997818
222,1.294512471655329,1,4096,0,0.0,-74.35581301588503,0.0010052885627374053,72,0,-1,,0,0,4.129400000000061,6.35690000000011
223,1.3003174603174603,1,4096,0,0.0,-72.59551427062175,0.001207094406709075,72,0,-1,,0,0,3.1975000000024068,4.1416999999981385
224,1.3061224489795917,1,4096,0,0.0,-73.285745377518,0.001427358016371727,59,0,-1,,0,0,3.2951000000025488,4.10309999999825
225,1.3119274376417234,1,4096,0,0.0,-71.579638136744,0.0015612903516739607,53,0,-1,,0,0,3.99799999999928,5.235700000000065
226,1.3177324263038548,1,4096,0,0.0,-69.3032371266892,0.0017905632266774774,59,0,-1,,0,0,3.0260999999995875,4.63940000000207
227,1.3235374149659864,1,4096,0,0.03536087118059067,-66.9501688720376,0.0019782872404903173,59,0,-1,,0,0,2.9442000000017288,3.765999999998826
228,1.3293424036281178,1,4096,0,0.37186175989277115,-66.28186725169681,0.0022880046162754297,59,0,-1,,0,0,3.099199999997637,3.9343999999985613
229,1.3351473922902495,1,4096,0,0.0,-68.5677785682496,0.002367332810536027,59,0,-1,,0,0,4.171599999999387,7.763700000001705
230,1.340952380952381,1,4096,0,0.0,-66.77954426472027,0.0024250296410173178,59,0,-1,,0,0,3.1938000000018008,4.149299999998135
