frame,time_s,calibrated,visible_window,detected_onset,onset_confidence,rms_dbfs,active_probability,raw_pitch,stable_active,stable_pitch,transition_score,transition_veto,retrigger,inference_ms,loop_ms,queue_delay_ms,queue_depth
113,0.6617687074829932,0,4096,0,0.0,-96.243937670594,,,,,,,,,0.7967999999998199,2.596900000000346,0
114,0.6675736961451247,0,4096,0,0.0,-96.31098574877738,,,,,,,,,1.294299999997861,7.806300000002153,0
115,0.6733786848072563,0,4096,0,0.0,-97.92982462984386,,,,,,,,,0.6900000000022999,9.12930000000145,0
116,0.6791836734693878,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.6431999999989557,9.848599999997987,0
117,0.6849886621315193,0,4096,0,0.0,-96.37908519400071,,,,,,,,,1.7510999999998944,0.15579999999815186,0
118,0.6907936507936508,0,4096,0,0.0,-96.51857380658345,,,,,,,,,0.9027999999986491,1.6691000000008671,0
119,0.6965986394557823,0,4096,0,0.0,-96.11286916969236,,,,,,,,,1.466499999999371,2.165399999999096,0
120,0.7024036281179138,0,4096,0,0.0,-95.9233973547883,,,,,,,,,1.4405999999986818,0.27779999999921756,0
121,0.7082086167800453,0,4096,0,0.0,-96.31098574877738,,,,,,,,,0.93559999999826,1.7452999999996166,0
122,0.7140136054421768,0,4096,0,0.0,-96.66269167130112,,,,,,,,,4.482200000001768,2.740899999999158,0
123,0.7198185941043084,0,4096,0,0.0,-96.31098574877738,,,,,,,,,1.4262000000009323,4.289100000001156,0
124,0.7256235827664399,0,4096,0,0.0,-96.73658462938218,,,,,,,,,0.9359000000017659,5.760300000002161,0
125,0.7314285714285714,0,4096,0,0.0,-96.59003495889704,,,,,,,,,0.7986999999971545,6.835099999999983,0
126,0.737233560090703,0,4096,0,0.0,-89.8387630706097,,,,,,,,,1.1825999999999226,0.286400000000242,0
127,0.7430385487528345,0,4096,0,1.0,-81.41100485484046,,,,,,,,,1.01399999999785,1.5092999999986034,0
128,0.748843537414966,0,4096,0,1.0,-70.75917675525356,,,,,,,,,0.9384000000025594,2.616200000002067,0
129,0.7546485260770975,0,4096,0,1.0,-62.41216514943113,,,,,,,,,2.449399999999713,0.1870999999979972,0
130,0.7604535147392291,0,4096,0,1.0,-67.24179424255388,,,,,,,,,1.8911000000016998,1.8938999999988937,0
131,0.7662585034013606,0,4096,0,1.0,-65.9685971785037,,,,,,,,,0.9583999999982495,3.8467999999980407,0
132,0.7720634920634921,0,4096,0,1.0,-59.56696080247164,,,,,,,,,1.3613000000027853,4.733800000000343,0
133,0.7778684807256235,0,4096,0,1.0,-56.30511468284787,,,,,,,,,0.8662000000008163,6.1397999999996955,0
134,0.7836734693877551,0,4096,0,1.0,-59.267766437376146,,,,,,,,,0.8911000000004776,7.081599999999355,0
135,0.7894784580498866,0,4096,0,1.0,-56.563625415003365,,,,,,,,,1.7492000000025598,0.14189999999913994,0
136,0.7952834467120181,0,4096,0,1.0,-57.08338771586458,,,,,,,,,0.9733000000018421,1.3858000000013249,0
137,0.8010884353741496,0,4096,0,1.0,-54.097733992799355,,,,,,,,,1.15949999999998,2.3721000000023196,0
138,0.8068934240362812,0,4096,0,1.0,-56.64114950937423,,,,,,,,,1.4302000000014914,0.14639999999843667,0
139,0.8126984126984127,0,4096,0,1.0,-59.46497776320197,,,,,,,,,0.8131999999996253,1.0657000000016126,0
140,0.8185034013605442,0,4096,0,1.0,-58.46038521279962,,,,,,,,,1.1744999999976358,1.892199999996791,0
141,0.8243083900226758,0,4096,0,1.0,-60.077048608545454,,,,,,,,,1.1256999999993411,0.2688000000006241,0
142,0.8301133786848073,0,4096,0,1.0,-57.86479443522965,,,,,,,,,0.9761000000025888,1.4096999999999582,0
